country_name,city_name,aqi_value,aqi_category,co_aqi_value,co_aqi_category,ozone_aqi_value,ozone_aqi_category,no2_aqi_value,no2_aqi_category,pm2.5_aqi_value,pm2.5_aqi_category,city_ascii,country,lat,lng
United States of America,Myrtle Grove,51.0,Moderate,2.0,Good,38.0,Good,7.0,Good,51.0,Moderate,Myrtle Grove,United States,30.4158,-87.3027
Russian Federation,Myski,40.0,Good,1.0,Good,40.0,Good,0.0,Good,23.0,Good,Myski,Russia,53.7,87.8167
Poland,Myslenice,52.0,Moderate,1.0,Good,28.0,Good,1.0,Good,52.0,Moderate,Myslenice,Poland,49.8347,19.9389
Poland,Mysliborz,35.0,Good,1.0,Good,24.0,Good,3.0,Good,35.0,Good,Mysliborz,Poland,52.9333,14.8667
Poland,Myslowice,106.0,Unhealthy for Sensitive Groups,2.0,Good,28.0,Good,8.0,Good,106.0,Unhealthy for Sensitive Groups,Myslowice,Poland,50.2333,19.1333
Poland,Myszkow,52.0,Moderate,1.0,Good,44.0,Good,1.0,Good,52.0,Moderate,Myszkow,Poland,50.5706,19.3144
Russian Federation,Mytishchi,37.0,Good,1.0,Good,30.0,Good,8.0,Good,37.0,Good,Mytishchi,Russia,55.9167,37.7667
Malawi,Mzimba,37.0,Good,0.0,Good,17.0,Good,0.0,Good,37.0,Good,Mzimba,Malawi,-11.9,33.6
Thailand,Na Klang,74.0,Moderate,2.0,Good,12.0,Good,4.0,Good,74.0,Moderate,Na Klang,Thailand,17.3043,102.1964
Thailand,Na Wa,56.0,Moderate,1.0,Good,30.0,Good,0.0,Good,56.0,Moderate,Na Wa,Thailand,17.4692,104.102
Netherlands,Naaldwijk,38.0,Good,1.0,Good,27.0,Good,4.0,Good,38.0,Good,Naaldwijk,Netherlands,51.9931,4.205
Finland,Naantali,36.0,Good,1.0,Good,36.0,Good,0.0,Good,6.0,Good,Naantali,Finland,60.4667,22.0333
Netherlands,Naarden,42.0,Good,0.0,Good,35.0,Good,1.0,Good,42.0,Good,,,,
Ireland,Naas,41.0,Good,1.0,Good,41.0,Good,0.0,Good,40.0,Good,Naas,Ireland,53.217,-6.663
India,Nabagram,158.0,Unhealthy,5.0,Good,15.0,Good,11.0,Good,158.0,Unhealthy,,,,
Japan,Nabari,86.0,Moderate,2.0,Good,15.0,Good,12.0,Good,86.0,Moderate,Nabari,Japan,34.6276,136.1084
United Republic of Tanzania,Naberera,17.0,Good,0.0,Good,17.0,Good,0.0,Good,12.0,Good,,,,
India,Nabha,170.0,Unhealthy,4.0,Good,170.0,Unhealthy,1.0,Good,166.0,Unhealthy,Nabha,India,30.37,76.15
Bangladesh,Nabinagar,62.0,Moderate,1.0,Good,40.0,Good,1.0,Good,62.0,Moderate,Nabinagar,India,24.62,84.12
Indonesia,Nabire,24.0,Good,1.0,Good,7.0,Good,0.0,Good,24.0,Good,Nabire,Indonesia,-3.3682,135.4964
Tunisia,Nabul,77.0,Moderate,1.0,Good,77.0,Moderate,1.0,Good,43.0,Good,,,,
Mozambique,Nacala,46.0,Good,0.0,Good,29.0,Good,0.0,Good,46.0,Good,,,,
Honduras,Nacaome,68.0,Moderate,1.0,Good,27.0,Good,1.0,Good,68.0,Moderate,Nacaome,Honduras,13.5167,-87.4833
United Republic of Tanzania,Nachingwea,41.0,Good,0.0,Good,20.0,Good,0.0,Good,41.0,Good,,,,
Czechia,Nachod,58.0,Moderate,1.0,Good,41.0,Good,0.0,Good,58.0,Moderate,Nachod,Czechia,50.4169,16.1631
